Name of Lake,Year,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD
Dal lake,2016,5.992,24.792,5.333,9.258,7.4,8.325,137.083,374.917,2.483,5.3
Wular lake,2016,5.5,15.975,6.9,8.525,7.175,7.9,124.75,166,1.775,3.275
Dal lake,2017,4.408,27.983,4.817,10.742,7.25,8.467,136.583,343.667,1.758,4.758
Wular lake,2017,6.075,24.625,3.225,9.525,7.475,7.95,116.25,263,1.675,4.375
Dal lake,2018,5.65,28.217,3.983,9.508,7.5,8.333,200.083,348.833,2.025,5.142
Wular lake,2018,6.5,24.425,5.5,9.25,7.375,7.875,146.25,267.5,1.45,6.2
Dal lake,2019,3.508,26.083,4.308,8.758,7.3,8.267,177.083,367.667,1.967,4.45
Wular lake,2019,8.55,27.55,4.95,9,7.225,7.875,127.25,279.25,1.325,3.413
Dal lake,2020,17.067,28.267,4.367,7.98,7.333,8.233,166.067,325.667,2.14,5.487
Wular lake,2020,16.714,22,3.286,6.686,7.129,7.329,146.429,286.857,1.729,4.7
Dal lake,2021,12.88,27.24,4.22,8.313,7.38,8.133,181.4,396.667,2.347,5.593
Wular lake,2021,8.1,25.083,3.017,7.917,7.15,7.717,150,286.667,1.483,4.4
Dal lake,2022,21.667,21.667,6.5,6.5,8.167,8.167,317.333,317.333,1.233,1.233
Wular Lake,2022,7.217,24.75,3.991,9.066,7.2,8.225,134.5,302.916,1.525,4.467
Dal lake,2023,6.4,29.6,4.12,8.56,7.507,8.667,165.733,423.467,1.327,3.46
Wular lake,2023,6.333,24.5,4.967,10.217,7.25,8.733,119,319.167,1.567,4.533
